model,task_id,task_name,domain,score,passed,assertions_total,assertions_passed,input_tokens,output_tokens,num_tool_calls,num_model_calls,steps,model_time_s
base,1,sales.update_contact_phone,sales,0.75,0,4,3,60127,3434,19,11,11,92.65
base,2,sales.advance_opportunity_stage,sales,0.5,0,8,4,352035,8827,52,24,24,206.13
base,3,sales.create_contact_for_account,sales,0.0,0,4,0,27303,2369,13,7,7,62.6
base,4,sales.add_contact_to_campaign,sales,0.5,0,6,3,25580,3235,17,6,6,92.03
base,5,sales.qualify_lead,sales,0.0,0,6,0,181484,4186,38,17,17,98.0
base,6,sales.create_new_opportunity,sales,0.0,0,2,0,388001,6464,51,26,26,153.82
base,7,sales.create_note_on_contact,sales,1.0,1,10,10,64202,2246,16,12,12,57.39
base,8,sales.send_customer_email,sales,0.0,0,3,0,330887,6476,32,30,30,153.29
base,9,sales.create_important_draft,sales,0.5,0,4,2,281788,9696,57,28,28,220.72
base,10,sales.mark_vip_emails_read,sales,0.23076923076923078,0,13,3,489790,13603,96,26,26,312.5
base,11,sales.apply_project_label,sales,0.0,0,7,0,37732,7874,25,8,8,180.33
base,12,sales.create_draft_reply,sales,0.0,0,5,0,402632,9531,38,31,31,221.85
base,13,sales.multi_hop_lookup,sales,0.3333333333333333,0,3,1,193090,5510,33,15,15,142.38
base,14,sales.negative_selection,sales,0.4,0,15,6,25291,3339,22,6,6,98.22
base,15,sales.recency_selection,sales,0.75,0,4,3,60326,3567,16,11,11,96.33
base,16,sales.priority_selection,sales,0.0,0,2,0,103064,3270,23,15,15,91.56
base,17,sales.format_ambiguity,sales,0.0,0,3,0,433334,4620,35,36,36,118.17
base,18,sales.implicit_rules,sales,0.125,0,8,1,41580,2732,14,9,9,78.15
base,19,sales.cross_reference_validation,sales,0.2,0,5,1,72076,2287,17,10,10,69.39
base,20,sales.soft_matching,sales,0.6666666666666666,0,3,2,65820,2690,16,13,13,77.79
base,21,sales.weighted_priority,sales,0.0,0,2,0,61662,2379,16,11,11,70.06
base,22,sales.dependency_chain,sales,0.0,0,2,0,137829,3524,19,16,16,94.76
base,23,sales.calendar_crm_meeting,sales,0.0,0,3,0,657882,11081,102,36,36,264.0
base,24,sales.sheets_reconciliation,sales,0.25,0,4,1,71303,7361,19,9,9,195.02
base,25,sales.five_level_conditional,sales,1.0,1,5,5,94797,2999,21,11,11,86.54
base,26,sales.zoom_crm_meeting,sales,0.0,0,2,0,109703,3230,25,12,12,91.98
base,27,sales.zoom_calendar_conflict,sales,1.0,1,4,4,144974,3618,21,11,11,115.88
base,28,sales.email_zoom_fuzzy,sales,0.42857142857142855,0,7,3,499557,9393,55,24,24,231.54
base,29,sales.slack_deal_notification,sales,0.5,0,6,3,109095,2329,18,13,13,58.85
base,30,sales.slack_channel_for_new_account,sales,0.5714285714285714,0,7,4,85827,2366,17,11,11,63.85
base,31,sales.linkedin_prospect_research,sales,0.0,0,8,0,872923,10400,74,50,50,241.72
base,32,sales.linkedin_connection_outreach,sales,0.45454545454545453,0,11,5,63020,2966,21,11,11,78.06
base,33,sales.calendly_discovery_call,sales,0.6666666666666666,0,6,4,88826,3673,18,12,12,114.53
base,34,sales.calendly_no_show_followup,sales,1.0,1,6,6,130023,3956,26,15,15,96.89
base,35,sales.docusign_contract_send,sales,0.8181818181818182,0,11,9,172778,4308,27,15,15,107.28
base,36,sales.docusign_deal_workspace,sales,0.1111111111111111,0,9,1,150727,4263,27,15,15,104.28
base,37,sales.calendly_reschedule_chain,sales,0.8333333333333334,0,6,5,254906,5329,30,22,22,134.32
base,38,sales.zoom_webinar_lead_capture,sales,0.25,0,12,3,691933,8844,44,34,34,231.74
base,39,sales.zoom_meeting_followup,sales,0.25,0,8,2,29802,1827,11,8,8,46.87
base,40,sales.linkedin_job_change,sales,0.25,0,8,2,292620,7654,44,22,22,195.27
base,41,sales.calendly_meeting_prep,sales,0.0,0,10,0,165652,7644,36,17,17,192.56
base,42,sales.docusign_compliance_template,sales,0.46153846153846156,0,13,6,222654,4397,28,18,18,111.18
base,43,sales.zoom_recording_distribution,sales,0.5714285714285714,0,14,8,356912,6553,43,19,19,165.1
base,44,sales.calendly_capacity_management,sales,0.75,0,4,3,440694,6610,44,23,23,164.11
base,45,sales.linkedin_event_promotion,sales,0.5,0,8,4,206515,6109,40,17,17,175.31
base,46,sales.zoom_attendance_pipeline,sales,0.4,0,10,4,182786,6886,30,11,11,175.64
base,47,sales.docusign_void_resend,sales,0.8181818181818182,0,11,9,152791,5243,23,16,16,134.96
base,48,sales.linkedin_content_engagement,sales,0.0,0,6,0,471529,5470,47,20,20,165.5
base,49,sales.calendly_sla_monitoring,sales,0.0,0,6,0,600288,6643,58,35,35,179.9
base,50,sales.docusign_sequential_signing,sales,0.4,0,5,2,55454,1652,13,10,10,47.65
base,51,sales.zoom_customer_health,sales,0.25,0,4,1,897236,13958,76,31,31,377.75
base,52,sales.calendly_lead_scoring,sales,0.6,0,5,3,1056096,10061,57,36,36,302.71
base,53,sales.linkedin_signal_monitoring,sales,0.5714285714285714,0,7,4,67485,4514,21,9,9,128.73
base,54,sales.linkedin_sales_prospecting,sales,0.8888888888888888,0,9,8,33231,2014,10,8,8,57.3
base,55,sales.demo_scheduling,sales,0.6666666666666666,0,6,4,200873,4080,23,20,20,120.48
base,56,marketing.social_engagement_response,marketing,0.2857142857142857,0,14,4,100470,4117,26,10,10,118.73
base,57,sales.deal_escalation,sales,0.25,0,4,1,226062,5384,25,18,18,146.08
base,58,sales.milestone_celebration,sales,0.8333333333333334,0,6,5,48815,2433,12,8,8,79.77
base,59,marketing.lead_enrichment,marketing,0.6666666666666666,0,12,8,54963,5788,18,10,10,168.81
base,60,sales.call_transcription,sales,0.6,0,5,3,570751,8475,51,25,25,242.28
base,61,sales.partnership_contract,sales,0.16666666666666666,0,6,1,199957,4364,33,14,14,131.63
base,62,marketing.contact_data_cleanup,marketing,0.5,0,14,7,760735,10235,35,31,31,289.64
base,63,sales.feedback_routing,sales,0.3333333333333333,0,12,4,1743868,15328,92,49,49,416.25
base,64,marketing.ad_performance_review,marketing,0.5,0,14,7,556782,10339,41,33,33,234.29
base,65,marketing.ad_platform_audit,marketing,0.6363636363636364,0,11,7,80922,4278,14,10,10,120.71
base,66,marketing.conversion_tracking,marketing,0.0,0,5,0,73114,3163,14,11,11,84.26
base,67,marketing.campaign_launch_checklist,marketing,0.8,0,5,4,40831,4072,11,7,7,95.82
base,68,marketing.influencer_outreach,marketing,0.6,0,15,9,85955,5528,19,11,11,127.18
base,69,marketing.landing_page_alert,marketing,0.3333333333333333,0,9,3,105054,3504,17,11,11,88.75
base,70,marketing.referral_processing,marketing,0.6,0,15,9,175355,7205,32,16,16,173.72
base,71,marketing.partner_comarketing,marketing,0.75,0,16,12,121219,7793,25,15,15,168.75
base,72,marketing.seasonal_campaign,marketing,0.75,0,4,3,114286,4635,29,13,13,105.25
base,73,marketing.lead_scoring,marketing,0.0,0,11,0,1014833,11853,58,43,43,259.54
base,74,marketing.event_registration_sync,marketing,1.0,1,14,14,174820,8279,36,15,15,182.96
base,75,marketing.content_performance,marketing,0.75,0,8,6,59386,6455,12,9,9,135.85
base,76,marketing.budget_reallocation,marketing,0.8181818181818182,0,22,18,42864,5515,14,8,8,116.22
base,77,marketing.content_syndication,marketing,0.8333333333333334,0,6,5,55149,4302,15,9,9,90.06
base,78,marketing.newsletter_dedup,marketing,0.5,0,16,8,136190,8142,21,11,11,180.82
base,79,marketing.seo_audit,marketing,0.8333333333333334,0,12,10,548687,8225,45,27,27,182.83
base,80,marketing.content_gap_analysis,marketing,0.47368421052631576,0,19,9,49482,5856,15,8,8,127.21
base,81,marketing.trending_topic,marketing,0.16666666666666666,0,6,1,353744,4316,34,20,20,95.31
base,82,marketing.content_localization,marketing,0.75,0,8,6,84487,4911,22,11,11,110.12
base,83,marketing.keyword_cannibalization,marketing,0.42857142857142855,0,7,3,76825,7810,12,10,10,166.76
base,84,marketing.industry_news,marketing,0.5555555555555556,0,18,10,37182,7748,26,8,8,182.7
base,85,marketing.brand_mention_analysis,marketing,0.25,0,4,1,204472,8192,47,15,15,177.99
base,86,marketing.market_trend,marketing,0.7,0,10,7,1846012,13604,74,44,44,304.93
base,87,marketing.social_scheduling,marketing,0.42857142857142855,0,21,9,51620,6558,15,9,9,152.55
base,88,marketing.social_contest,marketing,0.875,0,8,7,29372,4286,12,7,7,100.88
base,89,marketing.community_engagement,marketing,0.09090909090909091,0,11,1,182426,8634,20,18,18,196.91
base,90,marketing.social_roi,marketing,0.8888888888888888,0,18,16,76034,5604,15,10,10,177.91
base,91,marketing.ugc_moderation,marketing,0.4444444444444444,0,9,4,252925,4957,33,16,16,121.51
base,92,marketing.social_benchmark,marketing,0.0,0,45,0,88504,9277,18,9,9,208.93
base,93,marketing.campaign_attribution,marketing,0.0,0,13,0,1020685,5006,50,34,34,117.82
base,94,marketing.campaign_calendar,marketing,0.2,0,15,3,85896,6047,13,10,10,139.75
base,95,marketing.landing_page_optimization,marketing,0.9,0,20,18,144715,7430,22,13,13,177.69
base,96,marketing.campaign_handoff,marketing,0.7,0,10,7,519033,9341,43,30,30,227.25
base,97,marketing.campaign_retrospective,marketing,0.47619047619047616,0,21,10,236324,5789,35,16,16,143.14
base,98,marketing.creative_asset,marketing,0.6,0,10,6,95199,3463,15,11,11,87.31
base,99,marketing.vendor_management,marketing,0.1875,0,16,3,269966,9470,24,25,25,219.57
base,100,marketing.seo_competitor_gap,marketing,0.5294117647058824,0,17,9,229761,4285,28,15,15,104.77
base,101,marketing.content_repurpose,marketing,0.35714285714285715,0,14,5,132606,5310,21,12,12,133.33
base,102,marketing.editorial_calendar,marketing,0.0,0,10,0,988862,11216,58,32,32,270.38
base,103,marketing.link_building,marketing,0.5714285714285714,0,14,8,309474,11361,33,21,21,279.52
base,104,marketing.topic_cluster,marketing,0.85,0,20,17,287687,9803,26,16,16,218.76
base,105,marketing.content_scoring,marketing,0.46153846153846156,0,13,6,179195,7373,21,15,15,172.92
base,106,marketing.featured_snippet,marketing,0.0,0,2,0,1059578,8004,51,45,45,195.39
base,107,marketing.voice_of_customer,marketing,0.2413793103448276,0,29,7,187693,8770,25,16,16,196.97
base,108,marketing.win_loss_analysis,marketing,0.0,0,16,0,125647,8551,12,13,13,195.9
base,109,marketing.analyst_briefing,marketing,0.9629629629629629,0,27,26,149183,6526,25,16,16,155.09
base,110,marketing.tam_analysis,marketing,0.6,0,15,9,30099,6647,7,7,7,153.85
base,111,sales.linkedin_profile_enrichment,sales,0.42857142857142855,0,7,3,88878,2483,21,12,12,74.9
base,112,marketing.social_audit,marketing,0.6666666666666666,0,21,14,332830,4283,29,19,19,139.91
base,113,marketing.social_content_calendar,marketing,0.0,0,16,0,1356912,13428,62,38,38,321.59
base,114,sales.job_posting_contact,sales,0.2857142857142857,0,7,2,283799,6885,44,18,18,200.0
base,115,marketing.hashtag_performance,marketing,0.0,0,33,0,53134,6495,13,10,10,195.23
base,116,sales.cold_email_personalization,sales,0.4,0,5,2,60922,2847,14,12,12,91.04
base,117,sales.multi_step_drip_campaign,sales,0.0,0,8,0,1969873,6302,68,46,46,190.11
base,118,marketing.video_repurpose,marketing,0.0,0,13,0,1247339,3802,57,32,32,96.84
base,119,marketing.press_release_distribution,marketing,0.625,0,16,10,896415,21093,94,41,41,456.99
base,120,sales.event_followup_outreach,sales,0.8,0,10,8,216772,7003,35,18,18,227.0
base,121,sales.competitive_displacement_outreach,sales,0.35294117647058826,0,17,6,272969,6887,39,23,23,206.31
base,122,marketing.customer_milestone,marketing,0.42105263157894735,0,19,8,453193,11423,55,26,26,322.05
base,123,marketing.competitive_response_plan,marketing,0.8888888888888888,0,9,8,804942,9342,67,24,24,210.22
base,124,sales.meeting_action_items,sales,1.0,1,15,15,66590,2970,21,11,11,90.74
base,125,sales.champion_change_alert,sales,1.0,1,3,3,475685,7120,41,23,23,196.65
base,126,marketing.lifecycle_stage,marketing,0.0,0,18,0,46320,5226,15,7,7,180.69
base,127,marketing.product_adoption,marketing,1.0,1,8,8,27181,4527,13,8,8,103.13
base,128,sales.form_to_crm_qualification,sales,0.6,0,10,6,457072,6639,43,26,26,191.86
base,129,marketing.trial_extension_processing,marketing,0.0,0,17,0,970649,11094,59,50,50,285.35
base,130,marketing.podcast_episode_promotion,marketing,1.0,1,7,7,154122,3520,20,14,14,81.31
base,131,sales.invalid_email_cleanup,sales,0.5714285714285714,0,7,4,419551,5421,43,27,27,152.15
base,132,marketing.guest_post_outreach,marketing,0.75,0,16,12,86600,8773,27,10,10,205.18
base,133,marketing.newsletter_unsubscribe_processing,marketing,0.2727272727272727,0,11,3,117283,5904,22,15,15,136.34
base,134,sales.sheets_multi_channel_campaign_router,sales,0.6153846153846154,0,13,8,177010,5632,24,15,15,152.56
base,135,marketing.content_expiration_alert,marketing,0.625,0,16,10,84701,5047,21,10,10,147.77
base,136,sales.chatgpt_lead_classification_pipeline,sales,0.38461538461538464,0,13,5,186873,9923,33,15,15,255.7
base,137,marketing.competitor_product_launch,marketing,0.0,0,16,0,18768,5700,5,5,5,154.03
base,138,sales.cross_platform_account_health_score,sales,0.4,0,10,4,232788,6654,42,16,16,170.59
base,139,marketing.industry_event_tracking,marketing,0.375,0,8,3,9144,1939,4,4,4,58.9
base,140,sales.chatgpt_lead_summary_generator,sales,0.25,0,4,1,249232,4796,45,18,18,122.81
base,141,marketing.partner_content_approval,marketing,0.0,0,21,0,1055239,6222,87,32,32,156.86
base,142,marketing.analyst_mention_tracking,marketing,0.0,0,12,0,331838,7615,26,27,27,181.25
base,143,marketing.patent_monitoring,marketing,0.5,0,8,4,17941,6285,7,5,5,146.96
base,144,sales.chatgpt_proposal_customization,sales,0.0,0,20,0,125022,4639,30,12,12,122.01
base,145,marketing.customer_feedback_aggregation,marketing,0.17142857142857143,0,35,6,32953,15774,6,6,6,450.09
base,146,sales.chatgpt_email_sentiment_routing,sales,0.6363636363636364,0,11,7,311162,10296,67,20,20,249.25
base,147,sales.chatgpt_contract_summary,sales,0.14285714285714285,0,7,1,182102,2805,18,16,16,80.86
base,148,marketing.influencer_contract_tracking,marketing,0.7272727272727273,0,22,16,33197,7472,21,7,7,190.24
base,149,marketing.social_crisis_response,marketing,0.6666666666666666,0,12,8,313301,5284,38,22,22,134.29
base,150,sales.calendly_multi_stakeholder_scheduling,sales,1.0,1,5,5,565830,11270,31,28,28,284.84
base,151,sales.calendly_timezone_aware_scheduling,sales,0.8,0,5,4,56422,3428,11,11,11,87.84
base,152,marketing.social_mention_response,marketing,0.0,0,10,0,1471590,11588,112,50,50,284.56
base,153,sales.calendly_sequential_meetings,sales,0.125,0,8,1,31354,2494,11,7,7,72.08
base,154,sales.calendly_availability_based_routing,sales,0.0,0,5,0,146948,5289,36,14,14,132.02
base,155,marketing.multi_touch_attribution,marketing,0.9375,0,16,15,407232,15266,32,22,22,366.32
base,156,marketing.campaign_roi_analysis,marketing,0.76,0,25,19,105849,8068,16,17,17,201.83
base,157,sales.docusign_renewal_automation,sales,0.4,0,5,2,178029,6703,37,17,17,168.73
base,158,marketing.webinar_cancellation_workflow,marketing,0.0,0,25,0,1920414,11118,112,46,46,264.55
base,159,sales.docusign_conditional_template_selection,sales,0.5384615384615384,0,13,7,284257,10025,39,19,19,256.37
base,160,marketing.email_campaign_analytics,marketing,0.2,0,10,2,1880163,9788,77,50,50,238.19
base,161,sales.docusign_completion_processor,sales,0.0,0,11,0,76355,3009,15,9,9,77.04
base,162,marketing.landing_page_conversion,marketing,0.9,0,20,18,79070,10902,13,13,13,276.81
base,163,sales.docusign_bulk_nda_sender,sales,0.7777777777777778,0,9,7,1078789,10880,58,40,40,281.91
base,164,marketing.seo_brief_prioritization,marketing,0.5714285714285714,0,14,8,739408,18529,79,27,27,444.25
base,165,marketing.blog_refresh_queue,marketing,0.23076923076923078,0,13,3,658342,8666,52,29,29,221.18
base,166,sales.zoom_webinar_lead_scoring,sales,0.75,0,8,6,1159134,10379,101,43,43,267.15
base,167,marketing.customer_story_intake,marketing,0.6666666666666666,0,3,2,25703,2011,10,8,8,52.19
base,168,marketing.event_sponsorship_screen,marketing,0.2894736842105263,0,38,11,813036,9203,41,33,33,234.51
base,169,sales.zoom_recurring_meeting_optimizer,sales,0.0,0,4,0,524800,11883,77,34,34,305.69
base,170,sales.zoom_regional_webinar_coordinator,sales,0.5714285714285714,0,7,4,281008,12842,58,16,16,327.94
base,171,marketing.news_digest_dedup,marketing,0.05263157894736842,0,19,1,2156496,9880,75,42,42,246.97
base,172,sales.gcal_travel_time_buffer,sales,0.6,0,5,3,40154,3157,13,7,7,89.26
base,173,sales.gcal_deal_milestone_tracker,sales,1.0,1,5,5,132235,4372,21,13,13,117.43
base,174,sales.full_sales_cycle_orchestrator,sales,0.25,0,8,2,126730,5653,29,11,11,155.39
base,175,marketing.app_review_triage,marketing,0.0,0,12,0,1151224,7914,49,50,50,217.32
base,176,sales.event_to_opportunity_pipeline,sales,0.3,0,10,3,1070670,24761,114,37,37,557.83
base,177,sales.contract_renewal_coordinator,sales,0.375,0,8,3,450141,9452,64,23,23,250.82
base,178,marketing.utm_audit_and_fix,marketing,0.4117647058823529,0,17,7,74532,5290,16,12,12,149.08
base,179,marketing.social_comment_response_queue,marketing,0.9047619047619048,0,21,19,614300,18810,45,27,27,440.59
base,180,marketing.influencer_contract_reminders,marketing,0.5714285714285714,0,14,8,39852,8667,16,7,7,229.65
base,181,marketing.email_blast_suppression,marketing,0.5,0,6,3,284159,7762,39,19,19,193.29
base,182,marketing.newsletter_sponsor_invoicing,marketing,0.38095238095238093,0,21,8,54916,3998,16,9,9,119.13
base,183,sales.zoom_meeting_roi_analysis,sales,0.6666666666666666,0,6,4,275708,8847,28,19,19,236.16
base,184,sales.historical_context_pipeline_report,sales,0.0,0,5,0,108330,3880,20,14,14,112.69
base,185,operations.asana_fire_drill,operations,0.8,0,5,4,266203,4030,28,23,23,118.36
base,186,sales.cross_modal_renewal_processing,sales,0.8,0,5,4,234262,7530,31,21,21,205.09
base,187,marketing.twitter_influencer_followup,marketing,0.6666666666666666,0,6,4,11122,3605,19,4,4,115.21
base,188,operations.trello_basecamp_compliance,operations,0.25,0,4,1,126424,5449,24,14,14,160.87
base,189,sales.unreliable_label_account_review,sales,0.2857142857142857,0,7,2,912443,10959,74,39,39,270.14
base,190,operations.monday_email_update,operations,0.375,0,8,3,277026,7469,41,15,15,209.06
base,191,sales.historical_win_loss_recap,sales,0.0,0,4,0,235263,5001,24,22,22,149.87
base,192,marketing.facebook_photo_highlight,marketing,0.5,0,4,2,760032,6416,43,35,35,170.61
base,193,operations.jira_confluence_incident,operations,0.6666666666666666,0,3,2,216144,4492,28,18,18,132.76
base,194,sales.vendor_review_prep,sales,0.7142857142857143,0,7,5,115617,5028,25,15,15,146.38
base,195,marketing.instagram_approved_asset_publish,marketing,0.5,0,4,2,84386,3255,12,11,11,113.06
base,196,operations.drive_notion_archive,operations,1.0,1,3,3,100306,3153,18,13,13,94.73
base,197,sales.overdue_followup_flag,sales,0.2222222222222222,0,9,2,618158,12578,56,34,34,295.97
base,198,operations.calendar_airtable_maintenance,operations,0.5,0,2,1,68563,3640,14,12,12,112.95
base,199,marketing.linkedin_company_update,marketing,0.8,0,5,4,525739,4118,45,27,27,106.6
base,200,operations.pipefy_vendor_onboarding,operations,0.6,0,5,3,830276,10852,66,40,40,292.67
base,201,marketing.linkedin_speaker_outreach,marketing,0.0,0,9,0,75562,5138,18,14,14,129.85
base,202,operations.asana_safety_walk_log,operations,0.2,0,5,1,438739,6721,33,26,26,175.07
base,203,marketing.google_ads_pause_low_ctr,marketing,0.75,0,4,3,10578,1503,6,4,4,54.16
base,204,operations.trello_vendor_hold_email,operations,0.7142857142857143,0,7,5,86581,3849,26,12,12,101.91
base,205,marketing.google_ads_high_intent_list_from_hubspot,marketing,0.4,0,5,2,37187,2821,9,7,7,79.55
base,206,operations.monday_slack_inventory,operations,0.75,0,4,3,139858,3639,19,15,15,93.98
base,207,operations.confluence_gmail_policy_notice,operations,1.0,1,5,5,226366,4593,28,19,19,114.71
